id	code	name	type	descp	record_time
1	900957	凌云B股	1		2015-11-15 19:57:33
2	900956	东贝B股	1		2015-11-15 19:57:33
3	900955	九龙山B	1		2015-11-15 19:57:33
4	900953	凯马B	1		2015-11-15 19:57:33
5	900952	锦港B股	1		2015-11-15 19:57:33
6	900951	大化B	1		2015-11-15 19:57:33
7	900950	新城B股	1		2015-11-15 19:57:33
8	900948	伊泰B股	1		2015-11-15 19:57:33
9	900947	振华B股	1		2015-11-15 19:57:33
10	900946	天雁B股	1		2015-11-15 19:57:33
11	900945	海航B股	1		2015-11-15 19:57:33
12	900943	开开B股	1		2015-11-15 19:57:33
13	900942	黄山B股	1		2015-11-15 19:57:33
14	900941	东信B股	1		2015-11-15 19:57:33
15	900940	大名城B	1		2015-11-15 19:57:33
16	900939	汇丽B	1		2015-11-15 19:57:33
17	900938	天海B	1		2015-11-15 19:57:33
18	900937	华电B股	1		2015-11-15 19:57:33
19	900936	鄂资B股	1		2015-11-15 19:57:33
20	900935	阳晨B股	1		2015-11-15 19:57:33
21	900934	锦江B股	1		2015-11-15 19:57:33
22	900933	华新B股	1		2015-11-15 19:57:33
23	900932	陆家B股	1		2015-11-15 19:57:33
24	900930	沪普天B	1		2015-11-15 19:57:33
25	900929	锦旅B股	1		2015-11-15 19:57:33
26	900928	自仪B股	1		2015-11-15 19:57:33
27	900927	物贸B股	1		2015-11-15 19:57:33
28	900926	宝信B	1		2015-11-15 19:57:33
29	900925	机电B股	1		2015-11-15 19:57:33
30	900924	上工B股	1		2015-11-15 19:57:33
31	900923	百联B股	1		2015-11-15 19:57:33
32	900922	三毛B	1		2015-11-15 19:57:33
33	900921	丹科B股	1		2015-11-15 19:57:33
34	900920	上柴B股	1		2015-11-15 19:57:33
35	900919	大江B股	1		2015-11-15 19:57:33
36	900918	耀皮B股	1		2015-11-15 19:57:33
37	900917	海欣B股	1		2015-11-15 19:57:33
38	900916	金山B股	1		2015-11-15 19:57:33
39	900915	中路B股	1		2015-11-15 19:57:33
40	900914	锦投B股	1		2015-11-15 19:57:33
41	900913	国新B股	1		2015-11-15 19:57:33
42	900912	外高B股	1		2015-11-15 19:57:33
43	900911	金桥B股	1		2015-11-15 19:57:33
44	900910	海立B股	1		2015-11-15 19:57:33
45	900909	双钱B股	1		2015-11-15 19:57:33
46	900908	氯碱B股	1		2015-11-15 19:57:33
47	900907	鼎立B股	1		2015-11-15 19:57:33
48	900906	中纺B	1		2015-11-15 19:57:33
49	900905	老凤祥B	1		2015-11-15 19:57:33
50	900904	神奇B股	1		2015-11-15 19:57:33
51	900903	大众B股	1		2015-11-15 19:57:33
52	900902	市北B股	1		2015-11-15 19:57:33
53	900901	仪电B股	1		2015-11-15 19:57:33
54	603998	方盛制药	1		2015-11-15 19:57:33
55	603993	洛阳钼业	1		2015-11-15 19:57:33
56	603988	中电电机	1		2015-11-15 19:57:33
57	603899	晨光文具	1		2015-11-15 19:57:33
58	603889	新澳股份	1		2015-11-15 19:57:33
59	603806	福斯特	1		2015-11-15 19:57:33
60	603799	华友钴业	1		2015-11-15 19:57:33
61	603788	宁波高发	1		2015-11-15 19:57:33
62	603766	隆鑫通用	1		2015-11-15 19:57:33
63	603699	纽威股份	1		2015-11-15 19:57:33
64	603698	航天工程	1		2015-11-15 19:57:33
65	603688	石英股份	1		2015-11-15 19:57:33
66	603686	龙马环卫	1		2015-11-15 19:57:33
67	603678	火炬电子	1		2015-11-15 19:57:33
68	603636	南威软件	1		2015-11-15 19:57:33
69	603611	诺力股份	1		2015-11-15 19:57:33
70	603609	禾丰牧业	1		2015-11-15 19:57:33
71	603606	东方电缆	1		2015-11-15 19:57:33
72	603601	再升科技	1		2015-11-15 19:57:33
73	603600	永艺股份	1		2015-11-15 19:57:33
74	603588	高能环境	1		2015-11-15 19:57:33
75	603558	健盛集团	1		2015-11-15 19:57:33
76	603555	贵人鸟	1		2015-11-15 19:57:33
77	603518	维格娜丝	1		2015-11-15 19:57:33
78	603456	九洲药业	1		2015-11-15 19:57:33
79	603399	新华龙	1		2015-11-15 19:57:33
80	603369	今世缘	1		2015-11-15 19:57:33
81	603368	柳州医药	1		2015-11-15 19:57:33
82	603366	日出东方	1		2015-11-15 19:57:33
83	603333	明星电缆	1		2015-11-15 19:57:33
84	603328	依顿电子	1		2015-11-15 19:57:33
85	603308	应流股份	1		2015-11-15 19:57:33
86	603306	华懋科技	1		2015-11-15 19:57:33
87	603288	海天味业	1		2015-11-15 19:57:33
88	603188	亚邦股份	1		2015-11-15 19:57:33
89	603169	兰石重装	1		2015-11-15 19:57:33
90	603168	莎普爱思	1		2015-11-15 19:57:33
91	603167	渤海轮渡	1		2015-11-15 19:57:33
92	603166	福达股份	1		2015-11-15 19:57:33
93	603128	华贸物流	1		2015-11-15 19:57:33
94	603126	中材节能	1		2015-11-15 19:57:33
95	603123	翠微股份	1		2015-11-15 19:57:33
96	603111	康尼机电	1		2015-11-15 19:57:33
97	603100	川仪股份	1		2015-11-15 19:57:33
98	603099	长白山	1		2015-11-15 19:57:33
99	603088	宁波精达	1		2015-11-15 19:57:33
100	603077	和邦股份	1		2015-11-15 19:57:33
101	603019	中科曙光	1		2015-11-15 19:57:33
102	603018	设计股份	1		2015-11-15 19:57:33
103	603017	园区设计	1		2015-11-15 19:57:33
104	603011	合锻股份	1		2015-11-15 19:57:33
105	603010	万盛股份	1		2015-11-15 19:57:33
106	603009	北特科技	1		2015-11-15 19:57:33
107	603008	喜临门	1		2015-11-15 19:57:33
108	603006	联明股份	1		2015-11-15 19:57:33
109	603005	晶方科技	1		2015-11-15 19:57:33
110	603003	龙宇燃油	1		2015-11-15 19:57:33
111	603002	宏昌电子	1		2015-11-15 19:57:33
112	603001	奥康国际	1		2015-11-15 19:57:33
113	603000	人民网	1		2015-11-15 19:57:33
114	601999	出版传媒	1		2015-11-15 19:57:33
115	601998	中信银行	1		2015-11-15 19:57:33
116	601996	丰林集团	1		2015-11-15 19:57:33
117	601992	金隅股份	1		2015-11-15 19:57:33
118	601991	大唐发电	1		2015-11-15 19:57:33
119	601989	中国重工	1		2015-11-15 19:57:33
120	601988	中国银行	1		2015-11-15 19:57:33
121	601969	海南矿业	1		2015-11-15 19:57:33
122	601965	中国汽研	1		2015-11-15 19:57:33
123	601958	金钼股份	1		2015-11-15 19:57:33
124	601939	建设银行	1		2015-11-15 19:57:33
125	601933	永辉超市	1		2015-11-15 19:57:33
126	601929	吉视传媒	1		2015-11-15 19:57:33
127	601928	凤凰传媒	1		2015-11-15 19:57:33
128	601919	中国远洋	1		2015-11-15 19:57:33
129	601918	国投新集	1		2015-11-15 19:57:33
130	601908	京运通	1		2015-11-15 19:57:33
131	601901	方正证券	1		2015-11-15 19:57:33
132	601899	紫金矿业	1		2015-11-15 19:57:33
133	601898	中煤能源	1		2015-11-15 19:57:33
134	601890	亚星锚链	1		2015-11-15 19:57:33
135	601888	中国国旅	1		2015-11-15 19:57:33
136	601886	江河创建	1		2015-11-15 19:57:33
137	601880	大连港	1		2015-11-15 19:57:33
138	601877	正泰电器	1		2015-11-15 19:57:33
139	601872	招商轮船	1		2015-11-15 19:57:33
140	601866	中海集运	1		2015-11-15 19:57:33
141	601857	中国石油	1		2015-11-15 19:57:33
142	601818	光大银行	1		2015-11-15 19:57:33
143	601808	中海油服	1		2015-11-15 19:57:33
144	601801	皖新传媒	1		2015-11-15 19:57:33
145	601800	中国交建	1		2015-11-15 19:57:33
146	601799	星宇股份	1		2015-11-15 19:57:33
147	601798	蓝科高新	1		2015-11-15 19:57:33
148	601789	宁波建工	1		2015-11-15 19:57:33
149	601788	光大证券	1		2015-11-15 19:57:33
150	601777	力帆股份	1		2015-11-15 19:57:33
